text,label
"Account blocked. Pay now to activate",1
"Your bank account is blocked. Pay immediately",1
"Click the link to verify your KYC now",1
"Urgent KYC update required. Click link",1
"You won â‚¹50,000 prize. Claim now",1
"Lottery winner! Send details immediately",1
"Send UPI urgently to abc@upi",1
"Payment pending. Pay now to avoid suspension",1
"Your account will be closed today. Act now",1
"Confirm your OTP immediately to unlock account",1
"Share OTP now to continue service",1
"Send OTP to verify your account",1
"Click this link to receive cashback",1
"Pay â‚¹500 to xyz@upi to unblock account",1
"Your PAN is blocked. Update KYC now",1
"Account suspended. Verify now via link",1
"Urgent payment required to avoid legal action",1
"Your SIM will be deactivated today",1
"Refund pending. Click link to claim",1
"Mee account block ayyindi. Payment cheyyandi",1
"Mee bank account suspend ayyindi",1
"Mee UPI block ayyindi. Immediate ga pay cheyyandi",1
"Mee prize vachindi. Claim cheyyandi",1
"Mee account verify cheyyakapothe close avutundi",1
"Aaj hi payment karo warna account band ho jayega",1
"Aapka account suspend ho gaya hai",1
"Abhi OTP bhejo verification ke liye",1
"Link par click karke KYC update karo",1
"Aaj hi paisa bhejo",1
"Your parcel delivery has been attempted. Confirm details via link",1
"Your package could not be delivered due to address issue",1
"Delivery attempted second time. Update details now",1
"Your package will be returned. Click link to update address",1
"Courier delivery failed. Please update your information",1
"Your shipment is on hold. Confirm address immediately",1

"OTP for login is 482913. Do not share it with anyone.",0
"Your OTP is 982341 for verification. Do not share.",0
"Use OTP 774221 to complete login",0
"This OTP is valid for 5 minutes only",0
"Do not share your OTP with anyone",0
"Your verification code is 112233",0
"OTP required to sign in to your account",0
"Hi how are you",0
"Meeting tomorrow at 10am",0
"Call me later",0
"Happy birthday ðŸŽ‰",0
"Project submission is today",0
"Dinner at 8pm tonight",0
"Your Swiggy order has been delivered",0
"Your Amazon package will arrive today",0
"Train will arrive at platform 2",0
"Class is cancelled today",0
"Please review the attached document",0
"Your recharge was successful",0
"Thank you for your payment",0
"Customer care will contact you shortly",0
"Bank will never ask for your OTP",0
"This is a system generated message",0
